FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,borne_fontaine_organisme,geometry
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1031,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.4997549928868834 6.5921127899912015)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1032,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.4998133333333332 6.592651666666663)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1033,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5015233333333333 6.590285)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1034,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5012846844190348 6.591605611968132)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1035,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5029310540712744 6.591949942475283)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1036,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.509325000000001 6.589886666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1037,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5045316666666675 6.594868333333328)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1038,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5025883333333339 6.595149999999995)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1039,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.4992183333333322 6.601606666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_103a,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.508671666666668 6.597971666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_103b,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.500605 6.59776333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_103c,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.4971400000000008 6.597759999999997)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_103d,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.4970133333333335 6.598950000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_103e,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5033216666666662 6.596418333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_103f,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5021049999999994 6.5980700000000025)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1040,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5038400000000023 6.597709999999996)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1041,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.506735000000003 6.598558333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1042,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5044116666666685 6.599478333333325)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1043,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.5027883333333338 6.600298333333336)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1044,Maritime,Yoto,Yoto 1,Tabligbo,TDE,POINT (1.501763333333336 6.601673333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1045,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3881000000000019 6.5956333333333355)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1046,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3891699999999998 6.599429999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1047,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.388648333333336 6.597269999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1048,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.387320000000001 6.598204999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1049,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3870750000000007 6.596566666666662)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_104a,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3896600000000003 6.599211666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_104b,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3800183333333333 6.608724999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_104c,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3869416666666694 6.60146)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_104d,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3869883333333355 6.599359999999996)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_104e,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3927183333333344 6.602883333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_104f,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3850800000000003 6.596851666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1050,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.381372656044156 6.589333340917083)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1051,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3857016666666677 6.594494999999998)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1052,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3830549999999995 6.588428333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1053,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3863633333333354 6.595308333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1054,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3838883333333334 6.595183333333329)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1055,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3852399999999998 6.587734999999998)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1056,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3877911286255635 6.592129684398544)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1057,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3901383333333335 6.593373333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1058,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3886366666666665 6.593656666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1059,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3902316666666679 6.600031666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_105a,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3918350000000004 6.6018099999999995)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_105b,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3895900000000003 6.595438333333337)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_105c,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3828849999999995 6.603591666666661)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_105d,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3813883333333332 6.605241666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_105e,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3824133333333326 6.604371666666664)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_105f,Maritime,Yoto,Yoto 3,Essé-Godjin,TDE,POINT (1.5455550000000005 6.672125000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1060,Maritime,Yoto,Yoto 3,Essé-Godjin,TDE,POINT (1.5433783333333337 6.670789999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1061,Maritime,Yoto,Yoto 3,Gboto,TDE,POINT (1.5226766519933257 6.670554392901861)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1062,Maritime,Yoto,Yoto 3,Gboto,TDE,POINT (1.5279466666666668 6.677286666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1063,Maritime,Yoto,Yoto 3,Gboto,TDE,POINT (1.5278300000000002 6.678774999999996)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1064,Maritime,Yoto,Yoto 3,Essé-Godjin,TDE,POINT (1.5452849999999998 6.6686816666666715)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1065,Maritime,Yoto,Yoto 3,Gboto,TDE,POINT (1.5283244982884219 6.674104739950383)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1066,Maritime,Yoto,Yoto 3,Gboto,TDE,POINT (1.5267700000000004 6.673303333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1067,Maritime,Yoto,Yoto 3,Gboto,TDE,POINT (1.5254983333333336 6.6703049999999955)
