FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,utilisation_cout,toilette_type,geometry
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7fe,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Tannou,Payant,{WCs},POINT (1.6407233333333333 6.370858333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7fd,Maritime,Bas-Mono,Bas-Mono 2,Hompou,Blama-kondji,Payant,{Latrines a eau},POINT (1.672766666666667 6.398486666666668)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7fc,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Kpodji,Nsp,{Latrines seches},POINT (1.664685 6.559481666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7fb,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Midresso-kondji,Gratuit,{Latrines seches},POINT (1.658796666666667 6.54501)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7fa,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Kadeve-Zogbe,Gratuit,{Latrines seches},POINT (1.67339224186236 6.538837022881658)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f9,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Gbandi,Gratuit,{Latrines seches},POINT (1.6965749997409123 6.532027396037421)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f8,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Gbague Kondji,Gratuit,{Latrines seches},POINT (1.6618087417473002 6.566296772338537)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f7,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Wawa-kondji,Gratuit,{Latrines seches},POINT (1.6586316666666665 6.562603333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f6,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Avegbo,Gratuit,{Latrines seches},POINT (1.6929760570209405 6.5405459720196975)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f5,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,Dohkondji,Gratuit,{Latrines seches},POINT (1.7690983333333334 6.422796666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f4,Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,Payant,"{WCs,Latrines a eau}",POINT (1.212938318960915 6.160367196064868)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f3,Maritime,Golfe,Golfe 3,Bè-Ouest,Massouhouin,Payant,"{WCs,Latrines a eau,Douches}",POINT (1.2106016666666666 6.198263333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f2,Maritime,Golfe,Golfe 3,Bè-Ouest,Gbonssimé Lakaza,Payant,{WCs},POINT (1.2083927908131973 6.1623871411121725)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f1,Maritime,Golfe,Golfe 3,Bè-Ouest,Doumassesse,Payant,{Latrines a eau},POINT (1.2188715762319895 6.157249258573496)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7f0,Maritime,Golfe,Golfe 3,Bè-Ouest,Doumassesse,Payant,{Latrines a eau},POINT (1.2120642288522079 6.1597034542243705)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7ef,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Tame,Payant,{Latrines a eau},POINT (1.2241686081358794 6.166004001241718)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7ee,Maritime,Golfe,Golfe 3,Bè-Ouest,Totsi,Nsp,{WCs},POINT (1.2029859104338476 6.181068850848555)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7ed,Maritime,Golfe,Golfe 3,Bè-Ouest,Gazepe,Payant,"{Pissotieres,Latrines a eau}",POINT (1.2102408419893307 6.1544520909702305)
