FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,forage_nom,forage_type,batiment_nom,geometry
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300b,Centrale,Sotouboua,Sotouboua 2,Séssaro,Sessaro,PEA SESSARO,Nsp,Nsp,POINT (1.1683333329999996 8.609166666999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300c,Centrale,Tchamba,Tchamba 3,Kaboli,Olale I,PEA OLALE I,Nsp,Nsp,POINT (1.5938888890000005 8.746944443999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300d,Maritime,Lacs,Lacs 2,Aklakou,Sagbove,PEA SAGBOVE,Avec pompe sans tank,Nsp,POINT (1.726426666666667 6.365443333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300e,Maritime,Lacs,Lacs 2,Aklakou,Aklakou,PEA AKLAKOU,Avec tank sans pompe,CEG AKLAKOU,POINT (1.7060566666666672 6.351204999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300f,Centrale,Blitta,Blitta 1,Pagala-Gare,Pagala Carrière 1,PEA PAGALA CARRIÈRE 1,Avec tank sans pompe,Nsp,POINT (0.9789316666666666 8.178436666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3010,Savanes,Oti,Oti 2,Galangashie,Usp Centre,PEA USP centre,Avec pompe et tank,USP GALANGACHI,POINT (0.3504333333333336 10.505806666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3011,Savanes,Oti,Oti 2,Galangashie,Galangachi Fonboro,PEA GALANGACHI FONBORO,Avec tank sans pompe,CENTRE DES JEUNES,POINT (0.3574066666666663 10.516164999999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3012,Maritime,Yoto,Yoto 1,Kini-Kondji,Simedo Kondji,PEA Simedo Kondji,Avec tank sans pompe,Nsp,POINT (1.5305299999999997 6.602391666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3013,Kara,Bassar,Bassar 3,Kabou,Kabou,PEA KABOU,Avec pompe et tank,Nsp,POINT (0.8086850000000004 9.456694999999996)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3014,Kara,Bassar,Bassar 3,Kabou,Kabou,PEA KABOU,Avec pompe et tank,Nsp,POINT (0.8080683333333328 9.44849)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3015,Kara,Bassar,Bassar 3,Kabou,Kabou,PEA KABOU,Nsp,Nsp,POINT (0.8122222220000002 9.456666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3016,Kara,Bassar,Bassar 3,Kabou,Kiwan,PEA KIWAN,Nsp,Nsp,POINT (0.8122222000000001 9.456666999999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3017,Kara,Binah,Binah 1,Solla,Iheï,PEA IHEÏ,Avec pompe et tank,EPP IHEÏ,POINT (1.3341566666666675 9.952256666666669)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3018,Kara,Binah,Binah 1,Solla,Kopobi,PEA KOPOBI,Avec pompe et tank,Nsp,POINT (1.3352649999999995 9.99084)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3019,Maritime,Yoto,Yoto 1,Kouvé,Azove,PEA AZOVE,Avec tank sans pompe,Nsp,POINT (1.3625666666666674 6.807601666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301a,Kara,Kéran,Kéran 1,Pessidè,Nabine,PEA NABINE,Avec pompe et tank,Nsp,POINT (1.0212466666666675 10.054975)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301b,Kara,Kozah,Kozah 2,Sara-Kawa,Sara,PEA SARA,Avec pompe et tank,Nsp,POINT (1.0263399999999998 9.646374999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301c,Kara,Kozah,Kozah 2,Sara-Kawa,Zaap,PEA ZAAP,Avec tank sans pompe,Nsp,POINT (1.0519183333333333 9.64629833333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301d,Kara,Kozah,Kozah 2,Sara-Kawa,Zaap,PEA ZAAP,Avec pompe et tank,Périmètre agricole,POINT (1.0487150000000007 9.636755)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301e,Kara,Kozah,Kozah 2,Sara-Kawa,Sara,PEA Sara,Avec tank sans pompe,Marché de Sara,POINT (1.0224266666666675 9.632714999999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301f,Kara,Kozah,Kozah 4,Atchangbadè,Bounoh,PEA BOUNOH,Avec pompe et tank,Nsp,POINT (1.0968066666666667 9.475193333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3020,Kara,Kozah,Kozah 4,Atchangbadè,Tcheleyo,PEA TCHELEYO,Avec pompe et tank,Nsp,POINT (1.1368049999999996 9.46051)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3021,Kara,Kozah,Kozah 4,Atchangbadè,Wiyaoude,PEA Wiyaoude,Sans pompe ni tank,Nsp,POINT (1.124863333333333 9.47582333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3022,Kara,Kozah,Kozah 4,Atchangbadè,Welou,PEA Welou,Avec pompe et tank,Nsp,POINT (1.1536150000000003 9.499211666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3023,Kara,Kéran,Kéran 1,Kantè,N'dianta,PEA N'DIANTA,Avec pompe sans tank,Nsp,POINT (1.0925750000000003 9.928958333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3024,Kara,Doufelgou,Doufelgou 2,Défalé,N'dianta,PEA N'DIANTA,Avec pompe sans tank,Nsp,POINT (1.0930283333333342 9.92576)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3025,Kara,Doufelgou,Doufelgou 2,Défalé,Andjide,PEA ANDJIDE,Nsp,Nsp,POINT (1.1115333333333333 9.895296666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3026,Kara,Doufelgou,Doufelgou 2,Défalé,Honde,PEA HONDE,Avec tank sans pompe,EPP HOUNDE,POINT (1.123468333333333 9.903870000000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3027,Kara,Doufelgou,Doufelgou 2,Kpaha,Tchitchide,PEA TCHITCHIDE,Avec pompe et tank,Nsp,POINT (1.1401566666666672 9.904433333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3028,Kara,Doufelgou,Doufelgou 2,Kpaha,Kpaha,PEA KPAHA,Avec pompe et tank,Nsp,POINT (1.1334833333333338 9.8887)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3029,Savanes,Oti-Sud,Oti-Sud 1,Gando,Namoni,PEA NAMONI,Nsp,Nsp,POINT (0.7491669999999997 10.335278)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_302a,Maritime,Golfe,Golfe 6,Baguida,Baguida Dovi Kope,PEA BAGUIDA DOVI KOPE,Avec tank sans pompe,Nsp,POINT (1.326176666666667 6.160736666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_302b,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,Mire,PEA MIRE,Avec pompe et tank,Nsp,POINT (0.0717966666666659 10.798650000000002)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_302c,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,Mire,PEA MIRE,Avec pompe et tank,Nsp,POINT (0.0717966666666659 10.798650000000002)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_302d,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,Myr,PEA Myr,Avec tank sans pompe,Nsp,POINT (0.0717966666666659 10.798650000000002)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_302e,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,Nsp,PEA,Nsp,Nsp,POINT (0.0717966666666659 10.798650000000002)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_302f,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,Myr,PEA MYR,Nsp,Nsp,POINT (0.0717966666666659 10.798650000000002)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3030,Savanes,Tône,Tône 4,Korbongou,Bongbongbona,PEA Bongbongbona,Avec tank sans pompe,Nsp,POINT (0.3872233879540657 10.986674992534553)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3031,Savanes,Tône,Tône 4,Korbongou,Nakodignangnan,PEA NAKODIGNANGNAN,Avec tank sans pompe,Nsp,POINT (0.3665616666666662 10.911063333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3032,Savanes,Tône,Tône 4,Korbongou,Gondjoaga,PEA GONDJOAGA,Avec pompe et tank,Nsp,POINT (0.3566733333333326 10.906441666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3033,Savanes,Tône,Tône 4,Korbongou,Digban-gbangbangou,PEA DIGBAN-GBANGBANGOU,Avec pompe et tank,Mosquée,POINT (0.3566733333333342 10.906451666666664)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3034,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Namoundjoga,Namondjoga,PEA NAMONDJOGA,Avec tank sans pompe,LYCEE NAMONDJOGA,POINT (0.394491666666667 10.897143333333334)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3035,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Namoundjoga,Tchimbiagou,PEA TCHIMBIAGOU,Avec tank sans pompe,USP NAMONDJOGA,POINT (0.3908216666666667 10.895444999999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3036,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Namoundjoga,Nabatiga,PEA NABATIGA,Avec pompe et tank,Nsp,POINT (0.4019666666666663 10.907413333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3037,Savanes,Tône,Tône 4,Korbongou,Nadjote,PEA NADJOTE,Avec pompe et tank,Nsp,POINT (0.365806666666667 10.898011666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3038,Centrale,Blitta,Blitta 1,Pagala-Gare,Dépôt,PEA DÉPÔT,Avec tank sans pompe,Nsp,POINT (0.9596483333333333 8.187710000000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3039,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Goudjo Kope,PEA GOUDJO KOPE,Avec pompe et tank,Nsp,POINT (1.6529716666666665 6.446145)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_303a,Kara,Kéran,Kéran 3,Nadoba,Koukotchignigou,PEA KOUKOTCHIGNIGOU,Nsp,Nsp,POINT (1.0356889734404904 10.141664944149674)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_303b,Kara,Kéran,Kéran 3,Nadoba,Koukotchignigou,PEA KOUKOTCHIGNIGOU,Nsp,Nsp,POINT (1.036570106527256 10.139641084386152)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_303c,Kara,Kéran,Kéran 1,Akpontè,Kokou-temberma,PEA KOKOU-TEMBERMA,Avec pompe et tank,Nsp,POINT (0.9238833333333334 10.223798333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_303d,Kara,Kéran,Kéran 1,Akpontè,Akponte Centre,PEA AKPONTE CENTRE,Avec pompe et tank,Nsp,POINT (0.9203333333333329 10.226386666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_303e,Kara,Kéran,Kéran 1,Akpontè,Koukou Temberman,PEA KOUKOU TEMBERMAN,Avec pompe et tank,EPP KOUKOU TEMBERMAN,POINT (0.9252783333333334 10.222391666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_303f,Kara,Kéran,Kéran 1,Akpontè,Sontoukou,PEA SONTOUKOU,Avec pompe et tank,Nsp,POINT (0.909878333333333 10.232181666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3040,Kara,Kéran,Kéran 1,Akpontè,Kawounga,PEA KAWOUNGA,Nsp,Nsp,POINT (0.8943649328488813 10.204853571645558)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3041,Kara,Kéran,Kéran 1,Akpontè,Kawounga,PEA KAWOUNGA,Nsp,Nsp,POINT (0.8935267905821062 10.206817498824083)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3042,Kara,Kéran,Kéran 1,Pessidè,Adjaite,PEA ADJAITE,Avec pompe et tank,Nsp,POINT (1.0090750000000006 9.937090000000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3043,Kara,Kéran,Kéran 1,Pessidè,Kokote,PEA KOKOTE,Avec pompe et tank,Nsp,POINT (0.9945900000000006 9.956788333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3044,Kara,Kéran,Kéran 1,Kantè,Attetou Marché m,PEA Attetou marché m,Avec pompe et tank,Nsp,POINT (1.0478649999999996 9.946546666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3045,Savanes,Tandjoaré,Tandjoaré 2,Nano,Nano Centre,PEA NANO CENTRE,Avec pompe et tank,Nsp,POINT (0.1102733333333345 10.702746666666664)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3046,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,Dore,PEA Dore,Avec pompe et tank,Nsp,POINT (0.0958574943738299 10.723007129397274)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3047,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,Dore,PEA Dore,Avec tank sans pompe,Nsp,POINT (0.0877800000000004 10.72006166666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3048,Kara,Kozah,Kozah 2,Bohou,Gnangbade,PEA GNANGBADE,Nsp,Nsp,POINT (1.1980555559999997 9.648333333000002)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3049,Centrale,Blitta,Blitta 1,Yaloumbè,Nsp,PEA,Nsp,Nsp,POINT (1.0792339766790169 8.302813704962626)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_304a,Kara,Bassar,Bassar 2,Bitchabe,Katcha Losso/dimori,PEA KATCHA LOSSO/DIMORI,Nsp,Nsp,POINT (0.6355555559999994 9.213888888999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_304b,Maritime,Zio,Zio 1,Kpomé,Kpome Apeyeme,PEA KPOME APEYEME,Avec pompe sans tank,Nsp,POINT (1.3557283333333336 6.284716666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_304c,Maritime,Zio,Zio 1,Abobo,Tsame,PEA TSAME,Nsp,Nsp,POINT (1.3571049999999996 6.276371666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_304d,Maritime,Zio,Zio 1,Abobo,Tsame,PEA TSAME,Nsp,Nsp,POINT (1.356388889 6.275833332999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_304e,Maritime,Zio,Zio 1,Abobo,Kpoguede,PEA KPOGUEDE,Sans pompe ni tank,Nsp,POINT (1.3684566666666669 6.265849999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_304f,Plateaux,Ogou,Ogou 1,Houdou,Awagome,PEA AWAGOME,Avec pompe et tank,Nsp,POINT (1.185775 7.649506666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3050,Maritime,Lacs,Lacs 3,Agbodrafo,Agbodrafor,PEA AGBODRAFOR,Avec tank sans pompe,Hôpital,POINT (1.4810254123845492 6.21181789433761)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3051,Maritime,Lacs,Lacs 3,Agbodrafo,Agbedrafor,PEA AGBEDRAFOR,Avec pompe et tank,Église méthodiste,POINT (1.4780466666666672 6.206812606038528)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3052,Savanes,Tône,Tône 2,Nanergou,Nablipiong,PEA NABLIPIONG,Avec tank sans pompe,Nsp,POINT (0.1361100000000005 10.938659999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3053,Savanes,Tône,Tône 2,Nanergou,Nablipiong,PEA NABLIPIONG,Avec tank sans pompe,Nsp,POINT (0.1361100000000005 10.938659999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3054,Savanes,Tône,Tône 2,Naki-Ouest,Tchandana,PEA Tchandana,Avec tank sans pompe,Société Sintro,POINT (0.1281383333333338 10.94014833333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3055,Savanes,Tône,Tône 2,Naki-Ouest,Mordjoak,PEA Mordjoak,Avec pompe et tank,Nsp,POINT (0.1306649999999998 10.916448333333339)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3056,Savanes,Tône,Tône 2,Naki-Ouest,Namoundougba 2,PEA Namoundougba 2,Avec tank sans pompe,Nsp,POINT (0.1263050000000009 10.951086666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3057,Savanes,Tône,Tône 2,Nanergou,Babogou,PEA Babogou,Avec tank sans pompe,Mosquée,POINT (0.1460633333333327 10.92970666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3058,Centrale,Tchamba,Tchamba 3,Goubi,Goubi,PEA GOUBI,Nsp,Nsp,POINT (1.4688888889999998 8.652777778000003)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3059,Kara,Bassar,Bassar 2,Dimori,Gnimido,PEA GNIMIDO,Avec pompe et tank,Nsp,POINT (0.6268316666666663 9.181995000000002)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_305a,Kara,Bassar,Bassar 2,Dimori,Tissikakale/gnimido,PEA TISSIKAKALE/GNIMIDO,Nsp,Nsp,POINT (0.6266666670000004 9.183055556)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_305b,Kara,Bassar,Bassar 2,Dimori,Dimori Marché,PEA DIMORI MARCHÉ,Avec pompe et tank,MARCHE DIMORI,POINT (0.5959866666666674 9.203171666666664)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_305c,Plateaux,Kloto,Kloto 1,Womé,Wome,PEA WOME,Avec tank sans pompe,Nsp,POINT (0.5697678742691659 6.850535033219832)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_305d,Plateaux,Kloto,Kloto 1,Womé,Lycée De Wome,PEA Lycée de WOME,Avec tank sans pompe,Nsp,POINT (0.5800466666666666 6.844483333333331)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_305e,Centrale,Mô,Mô 2,Tindjasse,Nabou,PEA NABOU,Avec tank sans pompe,EPP Nabou,POINT (0.3952499999999998 8.72869666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_305f,Centrale,Tchaoudjo,Tchaoudjo 4,Wassarabo,Wassarabo,PEA WASSARABO,Avec tank sans pompe,Nsp,POINT (1.2601883333333337 9.004001666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3060,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,Magnakpe,PEA MAGNAKPE,Avec pompe et tank,Nsp,POINT (0.7907650000000003 7.236635000000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3061,Kara,Kéran,Kéran 2,Ataloté,Kpatekata,PEA Kpatekata,Nsp,Nsp,POINT (0.8994866666666663 9.967045)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3062,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,Katare,PEA KATARE,Avec tank sans pompe,Nsp,POINT (0.8102777780000014 7.208334442556781)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3063,Kara,Doufelgou,Doufelgou 1,Massédéna,Tchitchira,PEA TCHITCHIRA,Avec pompe et tank,Nsp,POINT (1.3223183333333335 10.019646666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3064,Maritime,Vo,Vo 2,Togoville,Togoville,PEA TOGOVILLE,Nsp,Nsp,POINT (1.4794566666666669 6.239926666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3065,Kara,Bassar,Bassar 3,Manga,Koudjoudjou,PEA KOUDJOUDJOU,Nsp,Nsp,POINT (0.6700000000000005 9.574444443999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3066,Plateaux,Kpélé,Kpélé 2,Kpélé-Dutoé,Avebolo,PEA AVEBOLO,Avec tank sans pompe,Nsp,POINT (0.821426666666667 7.246921666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3067,Kara,Bassar,Bassar 3,Kabou,Djikpakpare,PEA DJIKPAKPARE,Nsp,Nsp,POINT (0.7758333329999993 9.574166667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3068,Plateaux,Akébou,Akébou 2,Sérégbénè,Kabo,PEA KABO,Avec tank sans pompe,Nsp,POINT (0.7150183333333338 7.805573333333335)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3069,Kara,Dankpen,Dankpen 2,Natchiboré,Natchibore,PEA NATCHIBORE,Nsp,Nsp,POINT (0.7508567647839773 9.795072559980284)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_306a,Kara,Kozah,Kozah 2,Tchitchao,Fato,PEA FATO,Nsp,Nsp,POINT (1.1350000000000002 9.621944443999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_306b,Plateaux,Akébou,Akébou 2,Sérégbénè,Brada,PEA BRADA,Avec tank sans pompe,Nsp,POINT (0.7711300000000003 7.838798333333335)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_306c,Plateaux,Akébou,Akébou 2,Sérégbénè,Seregbene,PEA SEREGBENE,Nsp,Nsp,POINT (0.7619444439999996 7.806111111000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_306d,Savanes,Cinkassé,Cinkassé 1,Boadé,Bourenaba,PEA Bourenaba,Avec pompe et tank,MOSQUÉE,POINT (-0.0141899999999999 11.115703333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_306e,Plateaux,Akébou,Akébou 2,Sérégbénè,Saraga,PEA SARAGA,Avec tank sans pompe,Nsp,POINT (0.7186333333333337 7.860173333333336)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_306f,Centrale,Mô,Mô 2,Saïboudè,Saiboude,PEA SAIBOUDE,Nsp,Nsp,POINT (0.4699999999999998 8.601666666999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3070,Centrale,Mô,Mô 2,Saïboudè,Saiboude,PEA SAIBOUDE,Nsp,Nsp,POINT (0.4699999999999998 8.601666666999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3071,Kara,Doufelgou,Doufelgou 3,Léon,Agbande,PEA AGBANDE,Nsp,Nsp,POINT (0.9511111109999998 9.676111111)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3072,Kara,Binah,Binah 1,Boufalé,Baware,PEA BAWARE,Avec pompe et tank,USP BANWARE,POINT (1.3595497252434616 9.851191406023188)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3073,Plateaux,Est-Mono,Est-Mono 2,Morétan,Tchekele,PEA TCHEKELE,Avec pompe et tank,Nsp,POINT (1.3504113958394799 8.098493324803359)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3074,Kara,Doufelgou,Doufelgou 3,Léon,Agbande,PEA AGBANDE,Nsp,Nsp,POINT (0.9511111109999998 9.676111111)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3075,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah,PEA KOMAH,Nsp,Nsp,POINT (1.1436111110000002 8.974999999999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3076,Plateaux,Anié,Anié 1,Anié,Bodjé,PEA Bodjé,Sans pompe ni tank,Nsp,POINT (1.247831666666667 7.8547716666666645)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3077,Plateaux,Est-Mono,Est-Mono 1,Gbadjahè,Gbadjahè,PEA Gbadjahè,Sans pompe ni tank,Nsp,POINT (1.2988183333333334 7.8449100000000005)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3078,Maritime,Golfe,Golfe 2,Bè-Centre,Aéroports,PEA Aéroports,Avec tank sans pompe,Nsp,POINT (1.2499325023845744 6.168818650637655)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3079,Plateaux,Kpélé,Kpélé 1,Kpélé-Dawlotou,Jhon Kope,PEA JHON KOPE,Avec pompe et tank,Nsp,POINT (0.9328116666666675 7.036938333333334)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_307a,Plateaux,Kpélé,Kpélé 1,Kpélé-Dawlotou,Kpeve,PEA KPEVE,Avec pompe et tank,EPL APOSTOLIQUE,POINT (0.9517083333333334 7.010161666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_307b,Plateaux,Kpélé,Kpélé 1,Kpélé-Dawlotou,Kantchi Kope,PEA KANTCHI KOPE,Avec pompe sans tank,Nsp,POINT (0.9520166666666676 7.01317)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_307c,Plateaux,Ogou,Ogou 3,Gléi,Kpegnon Atchikiti,PEA KPEGNON ATCHIKITI,Avec pompe et tank,Nsp,POINT (1.0467883333333337 7.196078333333329)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_307d,Plateaux,Haho,Haho 4,Kpegnon (Haito),Nsp,PEA,Avec tank sans pompe,PROJET SANTE /BID-I,POINT (1.0285999999999997 7.189826666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_307e,Plateaux,Haho,Haho 4,Kpegnon (Haito),Kpegno,PEA Kpegno,Avec pompe et tank,Dispensaire,POINT (1.0285516666666663 7.189601666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_307f,Plateaux,Ogou,Ogou 3,Gléi,Glei,PEA GLEI,Avec pompe et tank,Eglise adventiste du septième jour,POINT (1.1715000000000004 7.327760000000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3080,Plateaux,Ogou,Ogou 1,Djama,Abotesse,PEA ABOTESSE,Avec pompe et tank,Nsp,POINT (1.1925949999999996 7.529766666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3081,Plateaux,Ogou,Ogou 1,Djama,Abotesse,PEA ABOTESSE,Avec pompe et tank,Nsp,POINT (1.1898966666666664 7.528623333333334)
