FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,forage_nom,forage_type,batiment_nom,geometry
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3686,Savanes,Tône,Tône 3,Warkambou,Bongdoure,PEA BONGDOURE,Avec pompe et tank,Nsp,POINT (0.0081716666666675 10.80326833333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3687,Savanes,Tône,Tône 3,Lotogou,Goussiesse,PEA GOUSSIESSE,Avec tank sans pompe,Nsp,POINT (0.0051749999999999 10.831183333333335)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3688,Plateaux,Anié,Anié 1,Anié,Djintoyi,PEA DJINTOYI,Avec pompe et tank,Mosquée,POINT (1.2128983333333332 7.771158333333331)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3689,Plateaux,Ogou,Ogou 4,Ountivou,Agningbanvo,PEA AGNINGBANVO,Avec tank sans pompe,Nsp,POINT (1.4455633333333333 7.409656666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_368a,Centrale,Blitta,Blitta 2,Koffiti,Aguidi Kope,PEA AGUIDI KOPE,Avec tank sans pompe,Nsp,POINT (1.1286266666666676 7.980188333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_368b,Centrale,Blitta,Blitta 2,Koffiti,Nsp,PEA,Nsp,DISPENSAIRE DE KOULANG,POINT (1.1071866666666665 8.037355)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_368c,Centrale,Tchaoudjo,Tchaoudjo 1,Kparataou,Kolowaré,PEA Kolowaré,Avec tank sans pompe,Nsp,POINT (1.2886583333333332 8.955108333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_368d,Centrale,Tchaoudjo,Tchaoudjo 1,Kparataou,Kolowaré,PEA Kolowaré,Avec tank sans pompe,Forage,POINT (1.291616666666667 8.95361)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_368e,Centrale,Tchaoudjo,Tchaoudjo 1,Kparataou,Tchalo,PEA TCHALO,Nsp,Nsp,POINT (1.2733333330000005 8.951111110999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_368f,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Pogno,Tchimouri,PEA Tchimouri,Avec tank sans pompe,Nsp,POINT (0.5524950000000003 10.930541666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3690,Plateaux,Ogou,Ogou 1,Djama,Kamina 2,PEA KAMINA 2,Avec tank sans pompe,Nsp,POINT (1.1699933333333334 7.509543333333334)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3691,Savanes,Tône,Tône 1,Dapaong,Babona,PEA Babona,Avec tank sans pompe,Nsp,POINT (0.3096566666666676 10.823804999999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3692,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Namoundjoga,Nambonga,PEA NAMBONGA,Avec pompe et tank,Nsp,POINT (0.4124066666666665 10.834573333333331)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3693,Kara,Kozah,Kozah 3,Awandjélo,Lakouda Tchevenda,PEA LAKOUDA TCHEVENDA,Avec pompe et tank,Nsp,POINT (1.1589983333333347 9.447109999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3694,Kara,Kozah,Kozah 3,Awandjélo,Toblawou,PEA TOBLAWOU,Avec pompe et tank,Nsp,POINT (1.1656116666666667 9.4394)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3695,Plateaux,Ogou,Ogou 2,Katoré,Kpakpo,PEA KPAKPO,Avec pompe et tank,Dispensaire de KPAKPO,POINT (1.2478850000000004 7.4069249999999975)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3696,Plateaux,Ogou,Ogou 2,Datcha,Dota,PEA DOTA,Avec pompe et tank,Nsp,POINT (1.2224783333333338 7.431566666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3697,Plateaux,Ogou,Ogou 2,Datcha,Toda,PEA TODA,Avec pompe et tank,Nsp,POINT (1.2151233333333333 7.441931666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3698,Kara,Binah,Binah 1,Pagouda,Alambourgou,PEA ALAMBOURGOU,Avec tank sans pompe,USP ALAMBOURGOU,POINT (1.3151444077083128 9.713571807649558)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3699,Maritime,Zio,Zio 1,Gblainvié,Yrayirakome,PEA YRAYIRAKOME,Avec pompe et tank,Nsp,POINT (1.0463000000000002 6.52417)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_369a,Maritime,Zio,Zio 4,Gapé-Centre,Gape Kpedji,PEA GAPE KPEDJI,Nsp,Nsp,POINT (1.0099999999999996 6.533611111000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_369b,Plateaux,Agou,Agou 2,Amoussou-Kopé,Honnougba Seva,PEA HONNOUGBA SEVA,Avec tank sans pompe,Nsp,POINT (0.8875666666666665 6.742181666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_369c,Maritime,Yoto,Yoto 3,Tokpli,Akladjenou,PEA AKLADJENOU,Avec pompe sans tank,Nsp,POINT (1.6135550000000003 6.605220000000001)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_369d,Maritime,Yoto,Yoto 3,Tokpli,Afikou Kondji,PEA AFIKOU KONDJI,Avec tank sans pompe,EGLISE METHODISTE,POINT (1.5568849999999999 6.647205)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_369e,Kara,Kozah,Kozah 1,Commune De Kara,Kpelwai,PEA KPELWAI,Avec pompe et tank,Nsp,POINT (1.1883633333333334 9.534078333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_369f,Savanes,Tône,Tône 3,Tami,Boksiynak,PEA Boksiynak,Avec tank sans pompe,Nsp,POINT (0.0967033333333334 10.851189999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a0,Savanes,Tône,Tône 3,Tami,Nsp,PEA,Avec pompe et tank,Nsp,POINT (0.0745699999999995 10.831373333333334)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a1,Savanes,Tône,Tône 2,Nanergou,Djimpieni,PEA Djimpieni,Avec pompe et tank,Nsp,POINT (0.1415166666666672 10.973626666666664)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a2,Savanes,Cinkassé,Cinkassé 2,Timbou,Djalotougou,PEA DJALOTOUGOU,Avec pompe et tank,Nsp,POINT (0.1299016666666671 10.994376666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a3,Savanes,Tône,Tône 2,Nanergou,Toutoute,PEA Toutoute,Avec tank sans pompe,Nsp,POINT (0.1406900000000006 10.884244999999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a4,Kara,Doufelgou,Doufelgou 1,Niamtougou,Lawoura,PEA LAWOURA,Avec pompe et tank,Mosquée,POINT (1.103730000000001 9.758933333333331)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a5,Savanes,Tône,Tône 1,Dapaong,Dampiong,PEA Dampiong,Avec tank sans pompe,Nsp,POINT (0.2248100000000001 10.934778333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a6,Maritime,Vo,Vo 4,Hahotoé,Djidjolé,PEA Djidjolé,Avec tank sans pompe,Nsp,POINT (1.4163116666666675 6.363651666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a7,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Zonngo,PEA Zonngo,Avec tank sans pompe,Nsp,POINT (0.6378416666666661 6.904493333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a8,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,Tchitchakope,PEA TCHITCHAKOPE,Sans pompe ni tank,Nsp,POINT (0.9089500000000004 7.212528333333335)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36a9,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,Kpakope,PEA KPAKOPE,Sans pompe ni tank,Nsp,POINT (0.9000883333333338 7.225023333333334)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36aa,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,Kopegan,PEA KOPEGAN,Nsp,Nsp,POINT (0.9083333330000003 7.201111110999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36ab,Plateaux,Akébou,Akébou 2,Kpalavé,Wodagni,PEA WODAGNI,Avec pompe et tank,Nsp,POINT (0.851876666666667 7.851113333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36ac,Plateaux,Haho,Haho 1,Hahomégbé,Makare,PEA MAKARE,Avec tank sans pompe,Nsp,POINT (0.993158333333334 6.9189066666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36ad,Maritime,Zio,Zio 1,Abobo,Nsp,PEA,Avec tank sans pompe,Nsp,POINT (1.3756483333333334 6.241108333333333)
